PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
0.300000,0.340000,0.030000,0.180000,0.110000,76.980003,8.090000,2.410000,261.980011,53.799999,57477.160156,32.62,95.54,2.750000,CO,14262
0.310000,0.360000,0.030000,0.180000,0.110000,77.180000,7.930000,2.220000,263.059998,51.880001,58505.929688,32.64,95.7,2.750000,CO,14263
0.320000,0.370000,0.040000,0.180000,0.110000,77.720001,8.200000,1.860000,262.890015,52.660000,58297.921875,32.65,95.86,2.750000,CO,14264
0.340000,0.400000,0.050000,0.180000,0.110000,76.940002,8.820000,1.610000,263.750000,48.840000,58656.738281,32.66,96.02,2.750000,CO,14265
0.370000,0.430000,0.050000,0.210000,0.120000,76.410004,8.400000,1.350000,265.089996,44.240002,59550.648438,32.67,96.18,3.000000,CO,14266
0.380000,0.440000,0.060000,0.260000,0.120000,75.610001,7.500000,1.800000,265.390015,43.119999,59712.339844,32.68,96.34,3.000000,CO,14267
0.400000,0.470000,0.060000,0.320000,0.120000,74.510002,6.550000,2.560000,265.290009,44.650002,59662.878906,32.69,96.5,3.000000,CO,14268
0.400000,0.470000,0.060000,0.340000,0.120000,73.769997,6.770000,3.180000,263.519989,50.389999,58217.910156,32.7,96.66,3.000000,CO,14269
0.400000,0.470000,0.060000,0.280000,0.110000,73.949997,8.260000,3.880000,262.369995,51.000000,57049.289062,32.72,96.82,2.750000,CO,14270
0.390000,0.460000,0.060000,0.250000,0.110000,75.169998,9.470000,4.230000,262.839996,45.830002,57100.750000,32.73,96.99,2.750000,CO,14271
0.420000,0.480000,0.070000,0.250000,0.110000,76.099998,10.380000,4.170000,263.239990,43.580002,57324.308594,32.74,97.15,2.750000,CO,14272
0.420000,0.490000,0.070000,0.260000,0.110000,76.900002,10.330000,3.000000,264.250000,41.279999,58138.558594,32.75,97.31,2.750000,CO,14273
0.560000,0.630000,0.100000,0.540000,0.120000,73.389999,6.440000,2.340000,261.579987,59.950001,59475.609375,32.86,99.57,3.000000,CO,14287
0.610000,0.680000,0.100000,0.560000,0.120000,73.220001,5.470000,2.820000,261.209991,62.810001,59575.488281,32.87,99.73,3.000000,CO,14288
0.640000,0.710000,0.110000,0.600000,0.120000,73.260002,7.890000,2.750000,263.519989,56.980000,60750.738281,32.89,100.22,3.000000,CO,14291
0.620000,0.690000,0.100000,0.650000,0.120000,73.209999,8.130000,2.180000,262.399994,61.720001,59946.988281,32.9,100.38,3.000000,CO,14292
0.600000,0.670000,0.100000,0.660000,0.120000,73.639999,10.030000,2.910000,263.269989,55.060001,60019.421875,32.9,100.54,3.000000,CO,14293
0.610000,0.670000,0.100000,0.700000,0.120000,73.309998,9.290000,2.000000,265.519989,47.459999,61987.820312,32.91,100.7,3.000000,CO,14294
0.660000,0.750000,0.120000,0.740000,0.120000,72.559998,6.410000,-0.250000,264.290009,52.459999,61631.710938,32.91,100.87,3.000000,CO,14295
0.740000,0.840000,0.120000,0.760000,0.120000,72.559998,6.960000,-1.150000,262.570007,57.340000,60007.140625,32.92,101.03,3.000000,CO,14296
0.170000,0.200000,0.020000,0.140000,0.110000,72.500000,8.090000,3.050000,258.989990,50.549999,53763.609375,32.59,93.43,2.750000,CO,14511
