PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
33.450001,35.340000,9.630000,1.590000,0.200000,80.070000,-1.430000,5.760000,287.929993,78.699997,69835.179688,33.79,103.94,47.785717,PM2.5,15875
36.439999,38.529999,10.630000,1.720000,0.210000,82.940002,-3.760000,4.220000,288.149994,87.599998,72461.843750,33.79,104.1,51.799999,PM2.5,15876
39.220001,41.500000,11.870000,1.850000,0.220000,87.660004,-4.570000,3.420000,289.029999,93.440002,75501.867188,33.79,104.26,55.275002,PM2.5,15877
41.529999,43.980000,12.980000,1.850000,0.230000,90.040001,-3.080000,6.200000,288.950012,95.300003,75853.593750,33.79,104.43,58.162498,PM2.5,15878
43.419998,45.959999,13.510000,2.120000,0.230000,90.949997,-1.680000,7.150000,289.089996,94.790001,75888.343750,33.8,104.59,60.524998,PM2.5,15879
43.560001,46.160000,13.850000,2.210000,0.240000,91.120003,-1.240000,7.360000,290.140015,91.459999,77211.000000,33.8,104.75,60.700001,PM2.5,15880
41.630001,44.029999,13.710000,2.080000,0.240000,93.739998,-0.970000,5.860000,292.290009,86.150002,80235.179688,33.8,104.92,58.287502,PM2.5,15881
40.389999,42.970001,13.090000,2.200000,0.240000,91.930000,-1.520000,6.260000,294.130005,81.180000,82582.421875,33.8,105.08,56.737499,PM2.5,15882
40.240002,42.849998,12.400000,2.330000,0.240000,90.349998,-2.910000,5.930000,293.959991,83.220001,82711.437500,33.8,105.25,56.550003,PM2.5,15883
40.150002,42.660000,11.480000,2.580000,0.240000,88.599998,-2.810000,4.980000,293.140015,90.419998,82659.710938,33.8,105.41,56.437500,PM2.5,15884
38.860001,41.299999,10.990000,3.280000,0.230000,87.070000,-1.520000,4.490000,293.739990,90.489998,83825.492188,33.79,105.57,54.825001,PM2.5,15885
36.349998,38.770000,11.030000,3.660000,0.230000,86.419998,-1.150000,3.880000,295.420013,86.040001,86280.031250,33.79,105.74,51.687500,PM2.5,15886
33.580002,35.959999,11.040000,3.980000,0.230000,85.800003,-0.870000,3.700000,296.589996,83.010002,88009.882812,33.79,105.9,47.971432,PM2.5,15887
30.440001,32.700001,10.290000,3.590000,0.220000,84.940002,0.290000,3.840000,297.779999,77.230003,88881.843750,33.79,106.06,43.485714,PM2.5,15888
27.270000,29.290001,9.310000,3.350000,0.210000,81.029999,1.040000,4.130000,297.899994,73.620003,87906.093750,33.79,106.23,38.957142,PM2.5,15889
25.110001,26.780001,8.670000,3.090000,0.190000,79.720001,0.180000,5.500000,297.010010,72.269997,85362.617188,33.79,106.39,35.871429,PM2.5,15890
19.370001,20.139999,3.360000,0.750000,0.140000,79.839996,1.490000,1.390000,283.269989,86.650002,61743.480469,33.87,101.15,27.671431,PM2.5,16118
20.090000,20.889999,3.510000,0.790000,0.140000,80.300003,2.340000,2.140000,282.799988,88.690002,61309.660156,33.88,101.31,28.700001,PM2.5,16119
20.660000,21.500000,3.770000,0.880000,0.150000,79.760002,2.400000,2.210000,283.609985,85.949997,62207.570312,33.88,101.48,29.514286,PM2.5,16120
21.299999,22.129999,4.110000,1.030000,0.150000,79.470001,1.650000,1.490000,285.000000,81.320000,63753.898438,33.89,101.64,30.428570,PM2.5,16121
22.450001,23.389999,4.470000,1.280000,0.160000,78.029999,0.520000,1.660000,285.929993,78.730003,65173.800781,33.89,101.8,32.071430,PM2.5,16122
23.309999,24.320000,4.850000,1.410000,0.160000,77.970001,-0.730000,2.080000,286.399994,78.620003,66095.023438,33.9,101.97,33.299999,PM2.5,16123
23.799999,24.870001,5.110000,1.440000,0.170000,78.949997,-1.610000,2.250000,286.489990,79.949997,66601.046875,33.9,102.13,34.000000,PM2.5,16124
29.400000,30.889999,7.560000,1.210000,0.180000,81.320000,-1.010000,3.190000,287.119995,78.449997,68036.898438,33.92,103.28,42.000000,PM2.5,16131
32.180000,33.810001,8.260000,1.360000,0.190000,80.610001,-2.620000,0.040000,288.160004,81.129997,70385.859375,33.92,103.44,45.971428,PM2.5,16132
33.590000,35.349998,8.930000,1.530000,0.200000,82.769997,-2.930000,-1.340000,288.910004,83.400002,72408.578125,33.92,103.61,47.985714,PM2.5,16133
34.049999,35.889999,9.350000,1.650000,0.200000,81.839996,-3.060000,0.100000,289.649994,80.599998,73472.257812,33.93,103.77,48.642857,PM2.5,16134
33.930000,35.840000,9.700000,1.660000,0.200000,81.150002,-4.660000,2.710000,289.920013,79.120003,73793.890625,33.93,103.93,48.471428,PM2.5,16135
37.200001,39.220001,10.480000,1.740000,0.210000,82.730003,-5.360000,4.330000,287.890015,92.500000,72817.679688,33.93,104.1,52.750000,PM2.5,16136
39.980000,42.180000,11.400000,1.840000,0.220000,84.779999,-3.860000,5.280000,287.260010,97.650002,72993.851562,33.93,104.26,56.224998,PM2.5,16137
40.650002,43.029999,12.440000,1.800000,0.220000,88.620003,-2.650000,6.030000,289.059998,93.180000,75484.687500,33.93,104.43,57.062500,PM2.5,16138
41.310001,43.799999,12.960000,2.030000,0.230000,89.660004,-2.400000,5.370000,290.619995,87.940002,77326.367188,33.93,104.59,57.887501,PM2.5,16139
